pid,name
james_cromwell,James Cromwell
magda_szubanski,Magda Szubanski
christine_cavanaugh,Christine Cavanaugh
tim_robbins,Tim Robbins
susan_sarandon,Susan Sarandon
sean_penn,Sean Penn
robert_prosky,Robert Prosky
andy_tennant,Andy Tennant
kirstie_alley,Kirstie Alley
steve_guttenberg,Steve Guttenberg
mary_kate_olsen,Mary-Kate Olsen
amy_heckerling,Amy Heckerling
alicia_silverstone,Alicia Silverstone
stacey_dash,Stacey Dash
brittany_murphy,Brittany Murphy
darrell_roodt,Darrell Roodt
richard_harris,Richard Harris
james_earl_jones,James Earl Jones
vusi_kunene,Vusi Kunene
richard_loncraine,Richard Loncraine
ian_mckellen,Ian McKellen
annette_bening,Annette Bening
christopher_bowen,Christopher Bowen
albert_hughes_allen_hughes,"Albert Hughes, Allen Hughes"
larenz_tate,Larenz Tate
keith_david,Keith David
chris_tucker,Chris Tucker
michael_hoffman,Michael Hoffman
robert_downey_jr,Robert Downey Jr.
sam_neill,Sam Neill
david_thewlis,David Thewlis
simon_mcquoid,Simon McQuoid
lewis_tan,Lewis Tan
jessica_mcnamee,Jessica McNamee
josh_lawson,Josh Lawson
gus_van_sant,Gus Van Sant
nicole_kidman,Nicole Kidman
matt_dillon,Matt Dillon
joaquin_phoenix,Joaquin Phoenix
jocelyn_moorhouse,Jocelyn Moorhouse
winona_ryder,Winona Ryder
ellen_burstyn,Ellen Burstyn
anne_bancroft,Anne Bancroft
mike_gabriel_eric_goldberg,"Mike Gabriel, Eric Goldberg"
mel_gibson,Mel Gibson
linda_hunt,Linda Hunt
christian_bale,Christian Bale
patricia_rozema,Patricia Rozema
pascale_bussi_res,Pascale Bussières
rachael_crawford,Rachael Crawford
henry_czerny,Henry Czerny
woody_allen,Woody Allen
mira_sorvino,Mira Sorvino
pamela_blair,Pamela Blair
gianni_amelio,Gianni Amelio
enrico_lo_verso,Enrico Lo Verso
michele_placido,Michele Placido
piro_milkani,Piro Milkani
ulu_grosbard,Ulu Grosbard
jennifer_jason_leigh,Jennifer Jason Leigh
mare_winningham,Mare Winningham
ted_levine,Ted Levine
jodie_foster,Jodie Foster
john_schlesinger,John Schlesinger
sally_field,Sally Field
kiefer_sutherland,Kiefer Sutherland
ed_harris,Ed Harris
stephen_herek,Stephen Herek
richard_dreyfuss,Richard Dreyfuss
glenne_headly,Glenne Headly
jay_thomas,Jay Thomas
paris_barclay,Paris Barclay
shawn_wayans,Shawn Wayans
marlon_wayans,Marlon Wayans
keenen_ivory_wayans,Keenen Ivory Wayans
bill_bennett,Bill Bennett
sandra_bullock,Sandra Bullock
denis_leary,Denis Leary
stephen_dillane,Stephen Dillane
jason_bloom,Jason Bloom
pauly_shore,Pauly Shore
stephen_baldwin,Stephen Baldwin
william_atherton,William Atherton
farhad_mann,Farhad Mann
patrick_bergin,Patrick Bergin
matt_frewer,Matt Frewer
austin_o_brien,Austin O'Brien
f_gary_gray,F. Gary Gray
ice_cube,Ice Cube
nia_long,Nia Long
robert_rodriguez,Robert Rodriguez
harvey_keitel,Harvey Keitel
george_clooney,George Clooney
juliette_lewis,Juliette Lewis
doug_liman,Doug Liman
naomi_watts,Naomi Watts
sonya_davison,Sonya Davison
noah_baumbach,Noah Baumbach
josh_hamilton,Josh Hamilton
eric_stoltz,Eric Stoltz
samuel_gould,Samuel Gould
michael_goldenberg,Michael Goldenberg
christian_slater,Christian Slater
mary_stuart_masterson,Mary Stuart Masterson
pamela_adlon,Pamela Adlon
steve_miner,Steve Miner
rick_moranis,Rick Moranis
tom_arnold,Tom Arnold
julianne_phillips,Julianne Phillips
christian_duguay,Christian Duguay
peter_weller,Peter Weller
roy_dupuis,Roy Dupuis
jennifer_rubin,Jennifer Rubin
susanne_ofteringer,Susanne Ofteringer
nico,Nico
tina_aumont,Tina Aumont
christian_p_ffgen,Christian Päffgen
gary_fleder,Gary Fleder
andy_garcia,Andy Garcia
christopher_walken,Christopher Walken
christopher_lloyd,Christopher Lloyd
tim_reid,Tim Reid
al_freeman_jr,Al Freeman Jr.
phylicia_rashad,Phylicia Rashad
leon,Leon
philip_haas,Philip Haas
mark_rylance,Mark Rylance
kristin_scott_thomas,Kristin Scott Thomas
patsy_kensit,Patsy Kensit
ridley_scott,Ridley Scott
jeff_bridges,Jeff Bridges
caroline_goodall,Caroline Goodall
john_savage,John Savage
ken_kwapis,Ken Kwapis
jason_alexander,Jason Alexander
faye_dunaway,Faye Dunaway
eric_lloyd,Eric Lloyd
penelope_spheeris,Penelope Spheeris
chris_farley,Chris Farley
david_spade,David Spade
tim_matheson,Tim Matheson
john_badham,John Badham
johnny_depp,Johnny Depp
courtney_chase,Courtney Chase
stephen_frears,Stephen Frears
julia_roberts,Julia Roberts
john_malkovich,John Malkovich
george_cole,George Cole
wes_craven,Wes Craven
eddie_murphy,Eddie Murphy
allen_payne,Allen Payne
ted_demme,Ted Demme
timothy_hutton,Timothy Hutton
noah_emmerich,Noah Emmerich
john_woo,John Woo
john_travolta,John Travolta
samantha_mathis,Samantha Mathis
davide_abbatescianni,Davide Abbatescianni
hanna_allsaar,Hanna Allsaar
jan_erik_aruvald,Jan-Erik Aruvald
inna_hallik,Inna Hallik
nick_broomfield,Nick Broomfield
nina_xining_zuo,Nina Xining Zuo
madam_alex,Madam Alex
harold_becker,Harold Becker
john_cusack,John Cusack
wes_anderson,Wes Anderson
luke_wilson,Luke Wilson
owen_wilson,Owen Wilson
ned_dowd,Ned Dowd
nick_castle,Nick Castle
ellen_degeneres,Ellen DeGeneres
bill_pullman,Bill Pullman
joan_cusack,Joan Cusack
poppy_montgomery,Poppy Montgomery
dylan_walsh,Dylan Walsh
james_hiroyuki_liao,James Hiroyuki Liao
dennis_dugan,Dennis Dugan
adam_sandler,Adam Sandler
christopher_mcdonald,Christopher McDonald
julie_bowen,Julie Bowen
brian_henson,Brian Henson
tim_curry,Tim Curry
billy_connolly,Billy Connolly
jennifer_saunders,Jennifer Saunders
robert_leacock,Robert Leacock
christy_turlington,Christy Turlington
azzedine_ala_a,Azzedine Alaïa
giorgio_armani,Giorgio Armani
sophie_marceau,Sophie Marceau
patrick_mcgoohan,Patrick McGoohan
cybill_shepherd,Cybill Shepherd
barbet_schroeder,Barbet Schroeder
meryl_streep,Meryl Streep
liam_neeson,Liam Neeson
edward_furlong,Edward Furlong
jon_blair,Jon Blair
glenn_close,Glenn Close
isa_baschwitz,Isa Baschwitz
eric_schaeffer,Eric Schaeffer
sarah_jessica_parker,Sarah Jessica Parker
ben_stiller,Ben Stiller
andrew_davis,Andrew Davis
alan_arkin,Alan Arkin
rachel_ticotin,Rachel Ticotin
reginald_hudlin,Reginald Hudlin
robin_givens,Robin Givens
halle_berry,Halle Berry
david_o_russell,David O. Russell
patricia_arquette,Patricia Arquette
t_a_leoni,Téa Leoni
michel_negroponte,Michel Negroponte
maggie_cogan,Maggie Cogan
katina_pendleton,Katina Pendleton
richard_griffiths,Richard Griffiths
maggie_steed,Maggie Steed
malcolm_sinclair,Malcolm Sinclair
william_friedkin,William Friedkin
david_caruso,David Caruso
linda_fiorentino,Linda Fiorentino
chazz_palminteri,Chazz Palminteri
david_s_ward,David S. Ward
kelsey_grammer,Kelsey Grammer
lauren_holly,Lauren Holly
rob_schneider,Rob Schneider
barry_levinson,Barry Levinson
laura_linney,Laura Linney
lewis_black,Lewis Black
raa_marchant,Raa Marchant
michael_bay,Michael Bay
will_smith,Will Smith
martin_lawrence,Martin Lawrence
lisa_boyle,Lisa Boyle
hal_hartley,Hal Hartley
isabelle_huppert,Isabelle Huppert
martin_donovan,Martin Donovan
elina_l_wensohn,Elina Löwensohn
ron_howard,Ron Howard
bill_paxton,Bill Paxton
michael_caton_jones,Michael Caton-Jones
jessica_lange,Jessica Lange
john_hurt,John Hurt
andrew_spanswick_tam_s_barok,"Andrew Spanswick, Tamás Barok"
cara_coslow,Cara Coslow
james_beck,James Beck
elysee_kathleen,Elysee Kathleen
darren_mcdonald,Darren McDonald
joel_schumacher,Joel Schumacher
tommy_lee_jones,Tommy Lee Jones
john_boorman,John Boorman
u_aung_ko,U Aung Ko
frances_mcdormand,Frances McDormand
paul_auster_wayne_wang_harvey_wang,"Paul Auster, Wayne Wang, Harvey Wang"
lou_reed,Lou Reed
michael_j_fox,Michael J. Fox
michael_moore,Michael Moore
john_candy,John Candy
alan_alda,Alan Alda
rhea_perlman,Rhea Perlman
brad_silberling,Brad Silberling
cathy_moriarty,Cathy Moriarty
spike_lee,Spike Lee
john_turturro,John Turturro
delroy_lindo,Delroy Lindo
frank_marshall,Frank Marshall
tony_scott,Tony Scott
denzel_washington,Denzel Washington
matt_craven,Matt Craven
terry_zwigoff,Terry Zwigoff
robert_crumb,Robert Crumb
aline_kominsky_crumb,Aline Kominsky-Crumb
charles_crumb,Charles Crumb
salma_hayek,Salma Hayek
joaquim_de_almeida,Joaquim de Almeida
carl_franklin,Carl Franklin
tom_sizemore,Tom Sizemore
jennifer_beals,Jennifer Beals
john_mctiernan,John McTiernan
bruce_willis,Bruce Willis
jeremy_irons,Jeremy Irons
samuel_l_jackson,Samuel L. Jackson
jerry_zucker,Jerry Zucker
sean_connery,Sean Connery
richard_gere,Richard Gere
julia_ormond,Julia Ormond
dwight_h_little,Dwight H. Little
jason_james_richter,Jason James Richter
michael_madsen,Michael Madsen
francis_capra,Francis Capra
iain_softley,Iain Softley
jonny_lee_miller,Jonny Lee Miller
angelina_jolie,Angelina Jolie
jesse_bradford,Jesse Bradford
christopher_ashley,Christopher Ashley
steven_weber,Steven Weber
michael_t_weiss,Michael T. Weiss
peter_jacobson,Peter Jacobson
robert_longo,Robert Longo
keanu_reeves,Keanu Reeves
dolph_lundgren,Dolph Lundgren
dina_meyer,Dina Meyer
danny_cannon,Danny Cannon
armand_assante,Armand Assante
james_marsden,James Marsden
alan_barinholtz,Alan Barinholtz
susan_berger,Susan Berger
larry_clark,Larry Clark
leo_fitzpatrick,Leo Fitzpatrick
justin_pierce,Justin Pierce
chlo_sevigny,Chloë Sevigny
tom_dicillo,Tom DiCillo
steve_buscemi,Steve Buscemi
catherine_keener,Catherine Keener
clive_barker,Clive Barker
scott_bakula,Scott Bakula
kevin_j_o_connor,Kevin J. O'Connor
j_trevor_edmond,J. Trevor Edmond
gaspar_no,Gaspar Noé
aomi_muyock,Aomi Muyock
karl_glusman,Karl Glusman
klara_kristin,Klara Kristin
antonia_bird,Antonia Bird
chris_o_donnell,Chris O'Donnell
drew_barrymore,Drew Barrymore
matthew_lillard,Matthew Lillard
kevin_smith,Kevin Smith
shannen_doherty,Shannen Doherty
jeremy_london,Jeremy London
jason_lee,Jason Lee
thomas_c_grane,Thomas C. Grane
karan_ashley,Karan Ashley
johnny_yong_bosch,Johnny Yong Bosch
steve_cardenas,Steve Cardenas
anthony_waller,Anthony Waller
marina_zudina,Marina Zudina
fay_ripley,Fay Ripley
evan_richards,Evan Richards
michael_almereyda,Michael Almereyda
peter_fonda,Peter Fonda
nic_ratner,Nic Ratner
leo_benvenuti,Leo Benvenuti
jeremy_bergman,Jeremy Bergman
elliott_cho,Elliott Cho
mike_ditka,Mike Ditka
chris_columbus,Chris Columbus
hugh_grant,Hugh Grant
daisy_von_scherler_mayer,Daisy von Scherler Mayer
parker_posey,Parker Posey
omar_townsend,Omar Townsend
the_lady_bunny,The Lady Bunny
emre_alu,Emre Aluç
alper_g_nay,Alper Günay
bihter_altay,Bihter Altay
yucel_yuksel,Yucel Yuksel
kim_wayans,Kim Wayans
michael_gladis,Michael Gladis
gregory_harrison,Gregory Harrison
boaz_yakin,Boaz Yakin
jason_statham,Jason Statham
catherine_chan,Catherine Chan
chris_sarandon,Chris Sarandon
paul_verhoeven,Paul Verhoeven
elizabeth_berkley,Elizabeth Berkley
kyle_maclachlan,Kyle MacLachlan
gina_gershon,Gina Gershon
wayne_wang,Wayne Wang
william_hurt,William Hurt
giancarlo_esposito,Giancarlo Esposito
lasse_hallstr_m,Lasse Hallström
dennis_quaid,Dennis Quaid
robert_duvall,Robert Duvall
roger_donaldson,Roger Donaldson
natasha_henstridge,Natasha Henstridge
ben_kingsley,Ben Kingsley
kathryn_bigelow,Kathryn Bigelow
ralph_fiennes,Ralph Fiennes
martha_coolidge,Martha Coolidge
patrick_swayze,Patrick Swayze
mary_elizabeth_mastrantonio,Mary Elizabeth Mastrantonio
joseph_mazzello,Joseph Mazzello
agnieszka_holland,Agnieszka Holland
leonardo_dicaprio,Leonardo DiCaprio
romane_bohringer,Romane Bohringer
beeban_kidron,Beeban Kidron
john_leguizamo,John Leguizamo
geoff_murphy,Geoff Murphy
steven_seagal,Steven Seagal
eric_bogosian,Eric Bogosian
everett_mcgill,Everett McGill
andie_macdowell,Andie MacDowell
michael_richards,Michael Richards
douglas_keeve,Douglas Keeve
isaac_mizrahi,Isaac Mizrahi
roseanne_barr,Roseanne Barr
sandra_bernhard,Sandra Bernhard
kevin_reynolds,Kevin Reynolds
kevin_costner,Kevin Costner
jeanne_tripplehorn,Jeanne Tripplehorn
dennis_hopper,Dennis Hopper
desmond_nakano,Desmond Nakano
harry_belafonte,Harry Belafonte
kelly_lynch,Kelly Lynch
dexter_fletcher,Dexter Fletcher
charlie_creed_miles,Charlie Creed-Miles
will_poulter,Will Poulter
sammy_williams,Sammy Williams
greg_beeman,Greg Beeman
daniel_stern,Daniel Stern
jon_polito,Jon Polito
brad_sullivan,Brad Sullivan
richard_linklater,Richard Linklater
ethan_hawke,Ethan Hawke
julie_delpy,Julie Delpy
andrea_eckert,Andrea Eckert
tamra_davis,Tamra Davis
darren_mcgavin,Darren McGavin
bridgette_wilson_sampras,Bridgette Wilson-Sampras
william_butler,William Butler
melissa_peterman,Melissa Peterman
mo_collins,Mo Collins
jim_o_heir,Jim O'Heir
herbert_ross,Herbert Ross
whoopi_goldberg,Whoopi Goldberg
mary_louise_parker,Mary-Louise Parker
andrea_staka,Andrea Staka
sylvie_marinkovic,Sylvie Marinkovic
lucia_radulovic,Lucia Radulovic
marija_skaricic,Marija Skaricic
stuart_gordon,Stuart Gordon
jeffrey_combs,Jeffrey Combs
barbara_crampton,Barbara Crampton
jonathan_fuller,Jonathan Fuller
jessica_dollarhide,Jessica Dollarhide
pat_o_connor,Pat O'Connor
minnie_driver,Minnie Driver
geraldine_o_rawe,Geraldine O'Rawe
brian_o_halloran,Brian O'Halloran
jeff_anderson,Jeff Anderson
marilyn_ghigliotti,Marilyn Ghigliotti
jeremy_leven,Jeremy Leven
marlon_brando,Marlon Brando
michael_douglas,Michael Douglas
donald_sutherland,Donald Sutherland
gary_busey,Gary Busey
yancy_butler,Yancy Butler
jack_baran,Jack Baran
dylan_mcdermott,Dylan McDermott
nancy_travis,Nancy Travis
quentin_tarantino,Quentin Tarantino
roman_polanski,Roman Polanski
stuart_wilson,Stuart Wilson
taylor_hackford,Taylor Hackford
kathy_bates,Kathy Bates
christopher_plummer,Christopher Plummer
bat_chen_sabag,Bat-Chen Sabag
shani_klein,Shani Klein
moshe_ashkenazi,Moshe Ashkenazi
atom_egoyan,Atom Egoyan
bruce_greenwood,Bruce Greenwood
elias_koteas,Elias Koteas
don_mckellar,Don McKellar
garry_marshall,Garry Marshall
dana_delany,Dana Delany
dan_aykroyd,Dan Aykroyd
tim_burton,Tim Burton
martin_landau,Martin Landau
lawrence_kasdan,Lawrence Kasdan
meg_ryan,Meg Ryan
kevin_kline,Kevin Kline
billy_crystal,Billy Crystal
debra_winger,Debra Winger
joe_mantegna,Joe Mantegna
phillip_borsos,Phillip Borsos
mimi_rogers,Mimi Rogers
bruce_davison,Bruce Davison
brett_leonard,Brett Leonard
jeff_goldblum,Jeff Goldblum
christine_lahti,Christine Lahti
carlo_carlei,Carlo Carlei
mark_lewis,Mark Lewis
kristy_young,Kristy Young
doug_stone,Doug Stone
james_donadio,James Donadio
steve_james,Steve James
william_gates,William Gates
arthur_agee,Arthur Agee
emma_gates,Emma Gates
peter_jackson,Peter Jackson
melanie_lynskey,Melanie Lynskey
sarah_peirse,Sarah Peirse
randall_miller,Randall Miller
sinbad,Sinbad
phil_hartman,Phil Hartman
kim_greist,Kim Greist
bernard_rose,Bernard Rose
gary_oldman,Gary Oldman
jeroen_krabb,Jeroen Krabbé
isabella_rossellini,Isabella Rossellini
ben_steele,Ben Steele
matt_bomer,Matt Bomer
fred_schepisi,Fred Schepisi
james_ivory,James Ivory
nick_nolte,Nick Nolte
greta_scacchi,Greta Scacchi
gwyneth_paltrow,Gwyneth Paltrow
ivan_reitman,Ivan Reitman
arnold_schwarzenegger,Arnold Schwarzenegger
arne_glimcher,Arne Glimcher
kate_capshaw,Kate Capshaw
george_lucas,George Lucas
mark_hamill,Mark Hamill
harrison_ford,Harrison Ford
carrie_fisher,Carrie Fisher
greta_gerwig,Greta Gerwig
saoirse_ronan,Saoirse Ronan
emma_watson,Emma Watson
florence_pugh,Florence Pugh
ken_loach,Ken Loach
crissy_rock,Crissy Rock
vladimir_vega,Vladimir Vega
sandie_lavelle,Sandie Lavelle
edward_zwick,Edward Zwick
brad_pitt,Brad Pitt
aidan_quinn,Aidan Quinn
damon_wayans,Damon Wayans
michael_ironside,Michael Ironside
bam_bam_bigelow,Bam Bam Bigelow
leo_mccarey,Leo McCarey
irene_dunne,Irene Dunne
charles_boyer,Charles Boyer
maria_ouspenskaya,Maria Ouspenskaya
stephen_gyllenhaal,Stephen Gyllenhaal
david_strathairn,David Strathairn
christina_milian,Christina Milian
kelli_garner,Kelli Garner
nora_ephron,Nora Ephron
madeline_kahn,Madeline Kahn
robert_klein,Robert Klein
richard_benjamin,Richard Benjamin
melanie_griffith,Melanie Griffith
michael_patrick_carter,Michael Patrick Carter
george_seaton,George Seaton
edmund_gwenn,Edmund Gwenn
maureen_o_hara,Maureen O'Hara
john_payne,John Payne
david_frankel,David Frankel
mia_farrow,Mia Farrow
robert_lindsay,Robert Lindsay
zo_wanamaker,Zoë Wanamaker
gabriel_thomson,Gabriel Thomson
marc_rocco,Marc Rocco
robert_benton,Robert Benton
paul_newman,Paul Newman
jessica_tandy,Jessica Tandy
michael_apted,Michael Apted
natasha_richardson,Natasha Richardson
nick_gomez,Nick Gomez
shar_ron_corley,Shar-Ron Corley
gabriel_casseus,Gabriel Casseus
saul_stein,Saul Stein
vadim_jean,Vadim Jean
craig_fairbrass,Craig Fairbrass
elizabeth_hurley,Elizabeth Hurley
keith_allen,Keith Allen
alan_jacobs,Alan Jacobs
laura_san_giacomo,Laura San Giacomo
paul_rhys,Paul Rhys
michael_o_keefe,Michael O'Keefe
o_lan_jones,O-Lan Jones
norman_jewison,Norman Jewison
marisa_tomei,Marisa Tomei
lee_tamahori,Lee Tamahori
rena_owen,Rena Owen
temuera_morrison,Temuera Morrison
mamaengaroa_kerr_bell,Mamaengaroa Kerr-Bell
anne_goursaud,Anne Goursaud
alyssa_milano,Alyssa Milano
johnathon_schaech,Johnathon Schaech
xander_berkeley,Xander Berkeley
wolfgang_petersen,Wolfgang Petersen
dustin_hoffman,Dustin Hoffman
morgan_freeman,Morgan Freeman
uma_thurman,Uma Thurman
scott_stewart,Scott Stewart
paul_bettany,Paul Bettany
cam_gigandet,Cam Gigandet
maggie_q,Maggie Q
robert_redford,Robert Redford
rob_morrow,Rob Morrow
peter_yates,Peter Yates
peter_falk,Peter Falk
d_b_sweeney,D.B. Sweeney
fred_gerber,Fred Gerber
matt_mccoy,Matt McCoy
george_mihalka,George Mihalka
darlanne_fluegel,Darlanne Fluegel
martin_neufeld,Martin Neufeld
james_brolin,James Brolin
harold_ramis,Harold Ramis
al_franken,Al Franken
vincent_d_onofrio,Vincent D'Onofrio
richard_rich,Richard Rich
michelle_nicastro,Michelle Nicastro
brian_nissen,Brian Nissen
katja_zoch,Katja Zoch
joseph_medrano,Joseph Medrano
roland_emmerich,Roland Emmerich
kurt_russell,Kurt Russell
james_spader,James Spader
jaye_davidson,Jaye Davidson
danny_boyle,Danny Boyle
kerry_fox,Kerry Fox
christopher_eccleston,Christopher Eccleston
ewan_mcgregor,Ewan McGregor
scott_mcgehee_david_siegel,"Scott McGehee, David Siegel"
dennis_haysbert,Dennis Haysbert
mel_harris,Mel Harris
sab_shimono,Sab Shimono
george_huang,George Huang
kevin_spacey,Kevin Spacey
frank_whaley,Frank Whaley
michelle_forbes,Michelle Forbes
kelly_makin,Kelly Makin
valerie_mahaffey,Valerie Mahaffey
lawrence_dane,Lawrence Dane
rachel_talalay,Rachel Talalay
lori_petty,Lori Petty
ice_t,Ice-T
david_carson,David Carson
patrick_stewart,Patrick Stewart
william_shatner,William Shatner
malcolm_mcdowell,Malcolm McDowell
rusty_cundieff,Rusty Cundieff
clarence_williams_iii,Clarence Williams III
corbin_bernsen,Corbin Bernsen
joe_torry,Joe Torry
don_tjernagel,Don Tjernagel
linda_dobbins,Linda Dobbins
matt_lee_ingebritson,Matt Lee Ingebritson
corey_kerr,Corey Kerr
john_carpenter,John Carpenter
christopher_reeve,Christopher Reeve
linda_kozlowski,Linda Kozlowski
peter_segal,Peter Segal
brian_dennehy,Brian Dennehy
louis_malle,Louis Malle
wallace_shawn,Wallace Shawn
phoebe_brand,Phoebe Brand
george_gaynes,George Gaynes
mike_lenzini,Mike Lenzini
blake_farris,Blake Farris
mark_d_matthews,Mark D. Matthews
jamie_carvelli,Jamie Carvelli
andrew_lincoln,Andrew Lincoln
danai_gurira,Danai Gurira
pollyanna_mcintosh,Pollyanna McIntosh
russell_crowe,Russell Crowe
jon_turteltaub,Jon Turteltaub
peter_gallagher,Peter Gallagher
masakazu_ohara_shinichi_omata,"Masakazu Ohara, Shinichi Omata"
amalee,AmaLee
yutaka_aoyama,Yutaka Aoyama
bryn_apprill,Bryn Apprill
mina_shum,Mina Shum
sandra_oh,Sandra Oh
stephen_chang,Stephen Chang
claudette_carracedo,Claudette Carracedo
p_j_hogan,P.J. Hogan
toni_collette,Toni Collette
rachel_griffiths,Rachel Griffiths
bill_hunter,Bill Hunter
tom_shadyac,Tom Shadyac
courteney_cox,Courteney Cox
sean_young,Sean Young
guy_pearce,Guy Pearce
terence_stamp,Terence Stamp
hugo_weaving,Hugo Weaving
stephen_dorff,Stephen Dorff
sheryl_lee,Sheryl Lee
ian_hart,Ian Hart
emmanuelle_seigner,Emmanuelle Seigner
dianne_wiest,Dianne Wiest
jennifer_tilly,Jennifer Tilly
phillip_noyce,Phillip Noyce
willem_dafoe,Willem Dafoe
anne_archer,Anne Archer
todd_kwait_rob_stegman,"Todd Kwait, Rob Stegman"
jessie_nelson,Jessie Nelson
ray_liotta,Ray Liotta
tina_majorino,Tina Majorino
alfre_woodard,Alfre Woodard
david_patrick_kelly,David Patrick Kelly
eric_darnell,Eric Darnell
john_legend,John Legend
constance_wu,Constance Wu
liza_koshy,Liza Koshy
ron_shelton,Ron Shelton
robert_wuhl,Robert Wuhl
lolita_davidovich,Lolita Davidovich
robert_zemeckis,Robert Zemeckis
robin_wright,Robin Wright
gary_sinise,Gary Sinise
mike_newell,Mike Newell
john_singleton,John Singleton
omar_epps,Omar Epps
kristy_swanson,Kristy Swanson
michael_rapaport,Michael Rapaport
darnell_martin,Darnell Martin
luna_lauren_velez,Luna Lauren Velez
jon_seda,Jon Seda
tomas_melly,Tomas Melly
saul_rubinek,Saul Rubinek
andrew_bergman,Andrew Bergman
rosie_perez,Rosie Perez
urara_takano,Urara Takano
banj_ginga,Banjô Ginga
hiroya_ishimaru,Hiroya Ishimaru
bernardo_bertolucci,Bernardo Bertolucci
ruocheng_ying,Ruocheng Ying
scott_glosserman,Scott Glosserman
nathan_baesel,Nathan Baesel
angela_goethals,Angela Goethals
zelda_rubinstein,Zelda Rubinstein
james_garner,James Garner
alan_rudolph,Alan Rudolph
campbell_scott,Campbell Scott
matthew_broderick,Matthew Broderick
priscilla_presley,Priscilla Presley
george_kennedy,George Kennedy
nathan_mitzenmacher,Nathan Mitzenmacher
janeane_garofalo,Janeane Garofalo
john_dahl,John Dahl
lara_flynn_boyle,Lara Flynn Boyle
donald_petrie,Donald Petrie
macaulay_culkin,Macaulay Culkin
edward_herrmann,Edward Herrmann
john_larroquette,John Larroquette
jan_de_bont,Jan de Bont
john_ross_bowie,John Ross Bowie
