mlId,gid
228,comedy
229,drama
229,thriller
230,drama
230,thriller
231,adventure
231,comedy
232,comedy
232,drama
232,romance
233,drama
234,comedy
235,comedy
235,drama
236,action
236,comedy
236,romance
237,comedy
237,romance
238,adventure
238,children
239,animation
239,children
239,comedy
239,romance
240,thriller
241,children
241,drama
242,drama
242,musical
243,children
243,comedy
243,fantasy
246,documentary
247,crime
247,drama
248,comedy
249,drama
249,romance
250,children
250,comedy
251,action
252,comedy
252,romance
253,drama
253,horror
254,drama
255,comedy
256,comedy
256,sci_fi
257,mystery
257,thriller
258,adventure
258,children
258,comedy
258,fantasy
258,romance
259,crime
259,drama
259,thriller
260,action
260,adventure
260,sci_fi
261,drama
262,children
262,drama
263,drama
265,drama
265,fantasy
265,romance
266,drama
266,romance
266,war
266,western
267,comedy
269,drama
270,drama
270,romance
271,drama
272,comedy
272,drama
273,drama
273,horror
273,sci_fi
274,comedy
275,comedy
276,comedy
276,romance
277,drama
278,comedy
279,drama
280,drama
280,thriller
281,comedy
281,drama
281,romance
282,drama
283,crime
283,drama
284,action
284,crime
285,drama
285,horror
287,comedy
287,romance
288,action
288,crime
288,thriller
289,comedy
289,romance
290,crime
290,drama
291,drama
291,thriller
292,action
292,drama
292,sci_fi
292,thriller
293,action
293,crime
293,drama
293,thriller
294,comedy
294,romance
295,comedy
295,romance
296,comedy
296,crime
296,drama
296,thriller
298,drama
299,drama
300,drama
301,drama
301,romance
302,drama
302,romance
303,action
303,thriller
303,western
304,comedy
304,drama
305,comedy
306,drama
307,drama
308,comedy
308,drama
310,comedy
311,horror
311,thriller
312,comedy
313,animation
313,children
314,children
314,drama
314,fantasy
314,mystery
315,action
315,drama
315,thriller
316,action
316,adventure
316,sci_fi
317,comedy
317,drama
317,fantasy
318,crime
318,drama
319,comedy
319,drama
319,thriller
320,film_noir
320,thriller
321,drama
322,comedy
322,drama
324,comedy
324,drama
325,comedy
326,drama
327,action
327,comedy
327,sci_fi
328,horror
328,thriller
329,adventure
329,drama
329,sci_fi
330,action
330,crime
330,horror
331,drama
332,horror
332,sci_fi
333,comedy
334,drama
335,mystery
335,thriller
336,drama
336,war
337,drama
338,action
338,sci_fi
338,thriller
339,comedy
339,romance
340,adventure
340,drama
340,war
341,drama
342,comedy
343,children
344,comedy
345,comedy
345,drama
346,drama
346,musical
347,drama
347,film_noir
347,romance
348,comedy
349,action
349,crime
349,drama
349,thriller
350,drama
350,mystery
350,thriller
351,comedy
351,drama
351,romance
352,comedy
352,drama
353,action
353,crime
353,fantasy
353,thriller
354,drama
355,children
355,comedy
355,fantasy
356,comedy
356,drama
356,romance
356,war
357,comedy
357,romance
358,drama
359,comedy
359,drama
359,romance
360,action
360,comedy
361,comedy
361,drama
361,romance
362,adventure
362,children
362,romance
363,documentary
364,adventure
364,animation
364,children
364,drama
364,musical
364,imax
365,drama
366,drama
366,horror
366,mystery
366,thriller
367,action
367,comedy
367,crime
367,fantasy
368,adventure
368,comedy
368,western
369,drama
370,action
370,comedy
371,comedy
371,drama
372,comedy
372,drama
372,romance
373,thriller
374,children
374,comedy
376,action
376,thriller
377,action
377,romance
377,thriller
378,comedy
378,romance
379,action
379,sci_fi
379,thriller
380,action
380,adventure
380,comedy
380,romance
380,thriller
381,drama
381,romance
382,drama
382,horror
382,romance
382,thriller
383,western
384,action
384,crime
384,drama
385,drama
386,drama
387,action
387,comedy
388,drama
389,drama
389,romance
389,war
390,action
390,crime
390,drama
391,crime
391,drama
393,action
393,adventure
393,fantasy
405,action
405,fantasy
406,drama
407,horror
407,thriller
408,drama
409,crime
409,drama
410,children
410,comedy
410,fantasy
412,drama
413,comedy
414,comedy
415,comedy
415,thriller
416,western
417,comedy
417,romance
418,drama
419,comedy
420,action
420,comedy
420,crime
420,thriller
421,adventure
421,children
421,drama
422,thriller
423,action
423,thriller
424,drama
425,drama
425,romance
426,horror
426,sci_fi
426,thriller
427,drama
427,mystery
427,romance
427,thriller
428,drama
429,comedy
430,comedy
430,drama
431,crime
431,drama
432,adventure
432,comedy
432,western
433,comedy
434,action
434,adventure
434,thriller
435,comedy
435,sci_fi
436,drama
436,thriller
437,comedy
438,action
438,comedy
438,drama
440,comedy
440,romance
441,comedy
442,action
442,adventure
442,sci_fi
444,comedy
444,romance
445,comedy
446,drama
446,romance
448,drama
449,comedy
450,comedy
450,drama
451,drama
451,mystery
451,romance
452,drama
453,comedy
453,romance
454,drama
454,thriller
455,adventure
455,children
455,drama
456,crime
456,drama
456,thriller
457,thriller
458,drama
458,western
459,action
459,adventure
459,crime
459,drama
459,romance
459,thriller
460,comedy
461,drama
461,romance
464,action
464,adventure
464,crime
464,thriller
466,action
466,comedy
466,war
467,comedy
468,comedy
468,romance
469,drama
469,romance
470,comedy
471,comedy
472,comedy
472,drama
473,comedy
473,war
474,action
474,thriller
475,drama
476,comedy
476,drama
477,drama
477,musical
478,comedy
478,crime
478,drama
479,action
479,crime
479,thriller
480,action
480,adventure
480,sci_fi
480,thriller
481,drama
481,thriller
482,crime
482,drama
482,thriller
484,adventure
484,children
485,action
485,adventure
485,comedy
485,fantasy
486,comedy
487,comedy
487,western
488,drama
488,romance
489,comedy
490,thriller
491,drama
492,comedy
492,mystery
493,action
493,crime
493,drama
494,action
494,adventure
494,thriller
495,drama
496,comedy
496,drama
496,romance
496,thriller
497,comedy
497,romance
499,comedy
499,romance
500,comedy
500,drama
501,drama
502,action
502,children
502,romance
504,action
504,drama
504,sci_fi
505,comedy
506,drama
506,fantasy
506,romance
507,crime
507,drama
507,thriller
508,drama
509,drama
509,romance
510,drama
511,action
511,drama
512,horror
512,sci_fi
513,comedy
513,mystery
513,romance
514,comedy
515,drama
515,romance
516,comedy
516,drama
517,action
517,drama
517,mystery
518,comedy
519,action
519,crime
519,drama
519,sci_fi
519,thriller
520,comedy
521,crime
521,thriller
522,action
522,drama
523,drama
524,drama
526,drama
527,drama
527,war
528,comedy
528,drama
529,drama
531,children
531,drama
532,comedy
532,crime
532,horror
533,action
533,adventure
533,fantasy
533,mystery
534,drama
534,romance
535,drama
536,drama
537,drama
538,drama
539,comedy
539,drama
539,romance
540,thriller
541,action
541,sci_fi
541,thriller
542,comedy
542,drama
542,romance
543,comedy
543,romance
543,thriller
544,action
544,crime
546,action
546,adventure
546,children
546,comedy
546,fantasy
546,sci_fi
547,action
547,adventure
547,thriller
548,action
548,mystery
548,thriller
549,drama
549,musical
550,comedy
550,romance
551,animation
551,children
551,fantasy
551,musical
552,action
552,adventure
552,comedy
552,romance
553,action
553,drama
553,western
555,crime
555,thriller
556,documentary
558,action
558,adventure
558,animation
558,children
558,fantasy
562,comedy
562,drama
563,drama
563,romance
564,comedy
567,comedy
567,drama
568,comedy
568,drama
569,comedy
569,drama
573,drama
574,comedy
574,drama
575,children
575,comedy
577,adventure
577,children
577,drama
579,crime
579,thriller
580,drama
581,documentary
583,comedy
583,drama
585,comedy
586,children
586,comedy
587,comedy
587,drama
587,fantasy
587,romance
587,thriller
588,adventure
588,animation
588,children
588,comedy
588,musical
589,action
589,sci_fi
590,adventure
590,drama
590,western
592,action
592,crime
592,thriller
593,crime
593,horror
593,thriller
594,animation
594,children
594,drama
594,fantasy
594,musical
595,animation
595,children
595,fantasy
595,musical
595,romance
595,imax
596,animation
596,children
596,fantasy
596,musical
597,comedy
597,romance
599,adventure
599,western
600,action
600,comedy
600,crime
602,documentary
605,drama
605,romance
606,fantasy
606,horror
608,comedy
608,crime
608,drama
608,thriller
609,adventure
609,children
610,action
610,adventure
610,animation
610,horror
610,sci_fi
611,action
611,horror
611,sci_fi
612,comedy
613,drama
613,romance
615,comedy
615,drama
616,animation
616,children
617,comedy
617,drama
618,comedy
618,romance
619,comedy
626,comedy
627,drama
627,thriller
628,crime
628,drama
628,mystery
628,thriller
631,adventure
631,animation
631,children
631,fantasy
631,musical
631,romance
632,drama
632,war
633,comedy
634,comedy
635,comedy
635,drama
636,drama
637,comedy
638,romance
639,comedy
639,drama
640,drama
640,thriller
645,drama
647,action
647,crime
647,drama
647,war
648,action
648,adventure
648,mystery
648,thriller
649,comedy
649,drama
650,drama
653,action
653,adventure
653,fantasy
656,comedy
661,adventure
661,animation
661,children
661,fantasy
661,musical
662,thriller
663,comedy
665,comedy
665,drama
665,war
667,action
668,drama
670,drama
671,comedy
671,sci_fi
673,adventure
673,animation
673,children
673,comedy
673,fantasy
673,sci_fi
674,adventure
674,comedy
674,sci_fi
678,drama
678,thriller
679,drama
680,drama
680,mystery
680,romance
680,sci_fi
680,thriller
685,drama
688,action
688,adventure
688,comedy
688,war
691,comedy
691,romance
692,action
692,sci_fi
692,thriller
694,action
694,crime
694,drama
695,mystery
695,thriller
697,drama
697,romance
698,drama
700,comedy
703,drama
704,action
704,adventure
706,drama
707,crime
707,drama
707,thriller
708,comedy
708,romance
709,adventure
709,animation
709,children
709,comedy
709,musical
710,comedy
711,adventure
711,children
714,drama
714,mystery
714,western
715,drama
715,romance
718,comedy
718,fantasy
718,sci_fi
719,comedy
720,adventure
720,animation
720,comedy
722,documentary
724,drama
724,fantasy
724,horror
724,thriller
725,comedy
726,drama
728,comedy
731,crime
731,thriller
733,action
733,adventure
733,thriller
735,horror
736,action
736,adventure
736,romance
736,thriller
737,action
737,sci_fi
741,animation
741,sci_fi
742,horror
742,thriller
743,comedy
745,animation
745,children
745,comedy
747,comedy
748,action
748,sci_fi
748,thriller
750,comedy
750,war
757,drama
759,documentary
760,drama
760,war
761,action
761,adventure
762,comedy
762,crime
764,drama
764,romance
765,comedy
765,drama
766,drama
773,drama
775,horror
775,mystery
778,comedy
778,crime
778,drama
779,drama
779,romance
780,action
780,adventure
780,sci_fi
780,thriller
781,drama
782,drama
782,thriller
783,animation
783,children
783,drama
783,musical
783,romance
784,comedy
784,thriller
785,comedy
786,action
786,drama
786,thriller
788,comedy
788,fantasy
788,romance
788,sci_fi
790,drama
791,documentary
795,drama
798,action
798,adventure
798,drama
798,thriller
799,comedy
799,horror
799,thriller
800,drama
800,mystery
800,western
801,children
801,comedy
802,drama
802,romance
803,comedy
803,drama
803,romance
804,comedy
804,romance
805,drama
805,thriller
806,crime
806,drama
808,adventure
808,children
809,action
809,adventure
810,children
810,comedy
810,fantasy
813,comedy
818,comedy
823,drama
824,drama
824,mystery
828,adventure
828,children
829,comedy
829,fantasy
829,musical
830,comedy
832,crime
832,thriller
833,comedy
835,drama
836,action
836,adventure
836,thriller
837,children
837,comedy
837,fantasy
838,comedy
838,drama
838,romance
839,action
839,thriller
840,children
840,comedy
841,horror
842,comedy
842,horror
848,drama
849,action
849,adventure
849,sci_fi
849,thriller
851,drama
852,comedy
852,drama
852,romance
858,crime
858,drama
861,action
861,comedy
861,crime
861,thriller
866,crime
866,drama
866,romance
866,thriller
867,comedy
867,crime
869,crime
869,drama
869,musical
869,thriller
870,comedy
875,action
875,crime
875,drama
876,action
876,comedy
876,crime
876,thriller
879,horror
879,thriller
880,sci_fi
880,thriller
881,children
881,comedy
882,drama
882,thriller
885,children
885,drama
885,fantasy
886,action
886,comedy
886,crime
888,adventure
888,animation
888,children
888,musical
889,drama
889,romance
891,horror
891,thriller
892,comedy
892,drama
892,romance
893,drama
896,drama
897,adventure
897,drama
897,romance
897,war
898,comedy
898,drama
898,romance
899,comedy
899,musical
899,romance
900,musical
900,romance
901,comedy
901,musical
902,drama
902,romance
903,drama
903,mystery
903,romance
903,thriller
904,mystery
904,thriller
905,comedy
905,romance
906,drama
906,thriller
907,comedy
907,musical
907,romance
908,action
908,adventure
908,mystery
908,romance
908,thriller
909,comedy
909,drama
909,romance
910,comedy
910,crime
911,comedy
911,crime
911,mystery
911,romance
911,thriller
912,drama
912,romance
913,film_noir
913,mystery
914,comedy
914,drama
914,musical
914,romance
915,comedy
915,romance
916,comedy
916,drama
916,romance
917,children
917,drama
918,musical
919,adventure
919,children
919,fantasy
919,musical
920,drama
920,romance
920,war
921,comedy
922,drama
922,film_noir
922,romance
923,drama
923,mystery
924,adventure
924,drama
924,sci_fi
926,drama
927,comedy
928,drama
928,mystery
928,romance
928,thriller
929,drama
929,film_noir
929,mystery
929,thriller
930,film_noir
930,romance
930,thriller
931,mystery
931,romance
931,thriller
932,drama
932,romance
933,crime
933,mystery
933,romance
933,thriller
934,comedy
935,comedy
935,musical
936,comedy
936,romance
937,comedy
937,romance
938,musical
940,action
940,adventure
940,romance
941,adventure
942,crime
942,film_noir
942,mystery
943,drama
943,fantasy
943,romance
944,drama
945,comedy
945,musical
945,romance
946,comedy
946,drama
946,war
947,comedy
947,romance
948,drama
948,romance
948,western
949,drama
950,comedy
950,crime
951,comedy
951,romance
952,adventure
952,comedy
953,children
953,drama
953,fantasy
953,romance
954,drama
955,comedy
955,romance
956,drama
956,romance
959,drama
961,drama
963,musical
965,drama
965,mystery
965,thriller
968,horror
968,sci_fi
968,thriller
969,adventure
969,comedy
969,romance
969,war
970,adventure
970,comedy
970,crime
970,drama
970,romance
971,drama
973,comedy
973,drama
976,romance
976,war
979,drama
979,war
981,drama
982,drama
984,comedy
984,drama
986,adventure
986,children
987,drama
987,romance
988,comedy
988,drama
990,action
990,adventure
990,thriller
991,drama
993,drama
994,comedy
994,drama
996,action
996,crime
996,drama
996,thriller
998,action
998,crime
999,crime
999,film_noir
1003,drama
1003,thriller
1004,action
1004,thriller
1005,children
1005,comedy
1006,drama
1007,children
1007,comedy
1007,western
1008,adventure
1008,western
1009,adventure
1009,children
1009,fantasy
1010,children
1010,comedy
1011,children
1011,comedy
1011,fantasy
1011,romance
1012,children
1012,drama
1013,children
1013,comedy
1013,romance
1014,children
1014,comedy
1014,drama
1015,adventure
1015,children
1015,drama
1016,children
1016,comedy
1017,adventure
1017,children
1018,children
1018,comedy
1018,mystery
1019,adventure
1019,drama
1019,sci_fi
1020,comedy
1021,children
1021,comedy
1022,animation
1022,children
1022,fantasy
1022,musical
1022,romance
1023,animation
1023,children
1023,musical
1024,animation
1024,children
1024,musical
1025,animation
1025,children
1025,fantasy
1025,musical
1027,adventure
1027,drama
1028,children
1028,comedy
1028,fantasy
1028,musical
1029,animation
1029,children
1029,drama
1029,musical
1030,adventure
1030,animation
1030,children
1030,musical
1031,adventure
1031,children
1031,musical
1032,adventure
1032,animation
1032,children
1032,fantasy
1032,musical
1033,animation
1033,children
1033,drama
1034,comedy
1034,crime
1034,drama
1034,thriller
1035,musical
1035,romance
1036,action
1036,crime
1036,thriller
1037,action
1037,horror
1037,sci_fi
1037,thriller
1040,drama
1041,drama
1042,comedy
1042,drama
1043,drama
1043,romance
1046,drama
1046,romance
1047,action
1047,drama
1047,thriller
1049,action
1049,adventure
1050,documentary
1050,drama
1051,drama
1053,crime
1053,drama
1053,romance
1054,drama
1055,thriller
1056,drama
1057,comedy
1057,musical
1057,romance
1059,drama
1059,romance
1060,comedy
1060,drama
1061,thriller
1064,animation
1064,children
1064,comedy
1064,fantasy
1064,musical
1064,romance
1066,comedy
1066,musical
1066,romance
1068,crime
1068,film_noir
1073,children
1073,comedy
1073,fantasy
1073,musical
1076,drama
1076,horror
1076,thriller
1077,comedy
1077,sci_fi
1078,comedy
1078,war
1079,comedy
1079,crime
1080,comedy
1081,comedy
1081,musical
1081,romance
1082,drama
1083,comedy
1083,musical
1084,crime
1084,drama
1085,adventure
1085,drama
1086,crime
1086,mystery
1086,thriller
1088,drama
1088,musical
1088,romance
1089,crime
1089,mystery
1089,thriller
1090,drama
1090,war
1091,comedy
1092,crime
1092,mystery
1092,thriller
1093,drama
1094,drama
1094,romance
1094,thriller
1095,drama
1096,drama
1097,children
1097,drama
1097,sci_fi
1099,children
1099,drama
1099,fantasy
1100,action
1100,drama
1100,romance
1101,action
1101,romance
1103,drama
1104,drama
1105,horror
1107,comedy
1111,documentary
1112,action
1112,comedy
1112,drama
1114,crime
1114,drama
1116,drama
1117,drama
1119,drama
1120,comedy
1120,drama
1121,drama
1123,documentary
1124,drama
1125,comedy
1125,crime
1126,comedy
1126,fantasy
1127,action
1127,adventure
1127,sci_fi
1127,thriller
1128,horror
1129,action
1129,adventure
1129,sci_fi
1129,thriller
1130,horror
1130,mystery
1131,drama
1131,mystery
1132,drama
1135,comedy
1136,adventure
1136,comedy
1136,fantasy
1137,romance
1140,drama
1144,documentary
1147,documentary
1148,animation
1148,children
1148,comedy
1148,crime
1150,drama
1151,animation
1151,comedy
1151,drama
1151,fantasy
1156,drama
1161,drama
1161,war
1162,comedy
1162,drama
1163,drama
1167,comedy
1170,action
1171,comedy
1172,drama
1173,comedy
1173,drama
1175,comedy
1175,drama
1175,romance
1176,drama
1176,fantasy
1176,romance
1177,drama
1177,romance
1178,drama
1178,war
1179,crime
1179,drama
1179,film_noir
1180,comedy
1183,drama
1183,romance
1183,war
1184,comedy
1184,drama
1185,drama
1186,drama
1187,drama
1188,comedy
1188,romance
1189,documentary
1190,crime
1190,drama
1190,romance
1191,documentary
1191,musical
1192,documentary
1193,drama
1194,comedy
1196,action
1196,adventure
1196,sci_fi
1197,action
1197,adventure
1197,comedy
1197,fantasy
1197,romance
1198,action
1198,adventure
1199,fantasy
1199,sci_fi
1200,action
1200,adventure
1200,horror
1200,sci_fi
1201,action
1201,adventure
1201,western
1202,comedy
1203,drama
1204,adventure
1204,drama
1204,war
1206,crime
1206,drama
1206,sci_fi
1206,thriller
1207,drama
1208,action
1208,drama
1208,war
1209,action
1209,drama
1209,western
1210,action
1210,adventure
1210,sci_fi
1211,drama
1211,fantasy
1211,romance
1212,film_noir
1212,mystery
1212,thriller
1213,crime
1213,drama
1214,horror
1214,sci_fi
1215,action
1215,adventure
1215,comedy
1215,fantasy
1215,horror
1216,adventure
1216,drama
1216,romance
1217,drama
1217,war
1218,action
1218,crime
1218,drama
1218,thriller
1219,crime
1219,horror
1220,action
1220,comedy
1220,musical
1221,crime
1221,drama
1222,drama
1222,war
1223,adventure
1223,animation
1223,children
1223,comedy
1223,sci_fi
1224,action
1224,drama
1224,romance
1224,war
1225,drama
1226,drama
1226,romance
1227,crime
1227,drama
1228,drama
1230,comedy
1230,romance
1231,drama
1232,drama
1232,mystery
1232,sci_fi
1233,action
1233,drama
1233,war
1234,comedy
1234,crime
1235,comedy
1235,drama
1235,romance
1236,comedy
1236,drama
1236,romance
1237,drama
1238,comedy
1240,action
1240,sci_fi
1240,thriller
1241,comedy
1241,fantasy
1241,horror
1242,drama
1242,war
1243,comedy
1243,drama
1244,comedy
1244,drama
1244,romance
1245,crime
1245,drama
1245,film_noir
1245,thriller
1246,drama
1247,comedy
1247,drama
1247,romance
1248,crime
1248,film_noir
1248,thriller
1249,action
1249,crime
1249,romance
1249,thriller
1250,adventure
1250,drama
1250,war
1251,drama
1251,fantasy
1252,crime
1252,film_noir
1252,mystery
1252,thriller
1253,drama
1253,sci_fi
1253,thriller
1254,action
1254,adventure
1254,drama
1254,western
1255,comedy
1255,horror
1255,sci_fi
1256,comedy
1256,musical
1256,war
1257,comedy
1257,romance
1258,horror
1259,adventure
1259,drama
1260,crime
1260,film_noir
1260,thriller
1261,action
1261,comedy
1261,fantasy
1261,horror
1262,action
1262,adventure
1262,drama
1262,war
1263,drama
1263,war
1264,action
1264,drama
1264,mystery
1264,romance
1264,thriller
1265,comedy
1265,fantasy
1265,romance
1266,drama
1266,western
1267,crime
1267,thriller
1267,war
1268,comedy
1268,drama
1269,comedy
1269,mystery
1269,thriller
1270,adventure
1270,comedy
1270,sci_fi
1271,comedy
1271,crime
1271,drama
1272,drama
1272,war
1273,comedy
1273,drama
1273,film_noir
1274,action
1274,adventure
1274,animation
1274,sci_fi
1275,action
1275,adventure
1275,fantasy
1276,drama
1277,comedy
1277,drama
1277,romance
1278,comedy
1278,fantasy
1279,comedy
1279,drama
1280,drama
1281,comedy
1281,drama
1281,war
1282,animation
1282,children
1282,fantasy
1282,musical
1283,drama
1283,western
1284,crime
1284,film_noir
1284,mystery
1285,comedy
1286,drama
1286,romance
1287,action
1287,adventure
1287,drama
1288,comedy
1289,documentary
1290,drama
1290,romance
1291,action
1291,adventure
1292,comedy
1292,drama
1293,drama
1295,drama
1296,drama
1296,romance
1297,comedy
1298,drama
1298,musical
1299,drama
1299,war
1300,comedy
1300,drama
1301,drama
1301,sci_fi
1302,children
1302,drama
1302,fantasy
1303,adventure
1303,drama
1304,action
1304,western
1305,drama
1305,romance
1306,adventure
1306,drama
1306,sci_fi
1307,comedy
1307,romance
1310,documentary
1312,drama
1318,comedy
1318,drama
1320,action
1320,horror
1320,sci_fi
1320,thriller
1321,comedy
1321,horror
1321,thriller
1322,horror
1323,horror
1324,horror
1325,horror
1326,horror
1327,drama
1327,horror
1327,mystery
1327,thriller
1328,horror
1329,horror
1330,horror
1331,horror
1332,horror
1332,thriller
1333,horror
1333,thriller
1334,horror
1334,sci_fi
1335,horror
1335,mystery
1336,horror
1336,thriller
1337,drama
1337,horror
1337,thriller
1339,fantasy
1339,horror
1339,romance
1339,thriller
1340,drama
1340,horror
1340,sci_fi
1341,horror
1342,horror
1342,thriller
1343,thriller
1344,crime
1344,drama
1344,thriller
1345,drama
1345,fantasy
1345,horror
1345,thriller
1346,drama
1346,fantasy
1346,horror
1347,horror
1347,thriller
1348,horror
1349,horror
1350,horror
1350,mystery
1350,thriller
1351,crime
1351,drama
1351,thriller
1352,crime
1352,thriller
1353,comedy
1353,drama
1353,romance
1354,drama
1354,mystery
1355,horror
1355,thriller
1356,action
1356,adventure
1356,sci_fi
1356,thriller
1357,drama
1357,romance
1358,drama
1359,children
1359,comedy
1361,documentary
1363,drama
1365,drama
1366,drama
1367,adventure
1367,children
1367,comedy
1370,action
1370,adventure
1370,thriller
1371,adventure
1371,sci_fi
1372,action
1372,mystery
1372,sci_fi
1373,action
1373,sci_fi
1374,action
1374,adventure
1374,sci_fi
1374,thriller
1375,action
1375,adventure
1375,sci_fi
1376,adventure
1376,comedy
1376,sci_fi
1377,action
1377,crime
1378,action
1378,comedy
1378,western
1379,action
1379,western
1380,comedy
1380,musical
1380,romance
1381,comedy
1381,musical
1381,romance
1382,action
1382,drama
1385,action
1385,drama
1385,thriller
1387,action
1387,horror
1388,horror
1388,thriller
1389,action
1389,horror
1390,comedy
1391,action
1391,comedy
1391,sci_fi
1392,comedy
1392,drama
1393,drama
1393,romance
1394,comedy
1395,comedy
1395,drama
1396,action
1396,comedy
1396,crime
1396,drama
1396,sci_fi
1397,drama
1398,romance
1398,war
1399,drama
1401,drama
1405,adventure
1405,animation
1405,comedy
1405,crime
1406,crime
1406,drama
1406,mystery
1406,thriller
1407,comedy
1407,horror
1407,mystery
1407,thriller
1408,action
1408,romance
1408,war
1408,western
1409,comedy
1409,drama
1409,fantasy
1409,romance
1411,crime
1411,drama
1411,romance
1412,drama
1413,drama
1414,comedy
1415,crime
1415,drama
1415,romance
1416,drama
1416,musical
1417,drama
1419,adventure
1419,drama
1422,crime
1422,drama
1422,mystery
1422,thriller
1423,drama
1425,comedy
1426,children
1427,action
1427,thriller
1428,drama
1429,action
1429,adventure
1429,comedy
1429,thriller
1430,comedy
1430,thriller
1431,action
1431,comedy
1432,action
1432,comedy
1432,crime
1432,drama
1432,thriller
1437,drama
1438,action
1438,thriller
1439,comedy
1440,comedy
1441,comedy
1441,romance
1442,drama
1445,comedy
1445,war
